t=,2.776,,Resting SP=,2.505,,Pref=,2.00E-05,,,,NONE,,,,,,,,FOAM,,,,,,,,,,,,,,,,,,
Initial Heights(mm),,,,,Cup Length (mm),,,,,L1,Max Sound Pressure (Pa),Measurement(mm),Displacement (mm),Actual Sound Pressure (Pa),Sound Level (dB),,,L1,Max Sound Pressure (Pa),Measurement(mm),Displacement (mm),Actual Sound Pressure (Pa),Sound Level (dB),,,,,,,,,,,,,,
,,,,,69.85,Mean,STD,uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67.88,69.15,1.538830725,1.910404395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,71.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,68.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,68.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cup End Radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65.5,Mean,STD,uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65.01,65.11,0.2182888,0.270997892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
